Epoch 48 | Train loss tensor(117.0070, device='cuda:0') | Val Loss tensor(113.7142, device='cuda:0') | Dropout 0.0 0.0
Epoch 49 | Train loss tensor(116.9464, device='cuda:0') | Val Loss tensor(113.8297, device='cuda:0') | Dropout 0.0 0.0
Epoch 50 | Train loss tensor(117.0696, device='cuda:0') | Val Loss tensor(113.9503, device='cuda:0') | Dropout 0.0 0.0
Epoch 51 | Train loss tensor(117.0850, device='cuda:0') | Val Loss tensor(113.7130, device='cuda:0') | Dropout 0.0 0.0
Epoch 52 | Train loss tensor(116.8698, device='cuda:0') | Val Loss tensor(115.8773, device='cuda:0') | Dropout 0.0 0.0
Epoch 53 | Train loss tensor(116.8243, device='cuda:0') | Val Loss tensor(114.3822, device='cuda:0') | Dropout 0.0 0.0
Epoch 54 | Train loss tensor(116.7708, device='cuda:0') | Val Loss tensor(114.9880, device='cuda:0') | Dropout 0.0 0.0
Epoch 55 | Train loss tensor(116.7709, device='cuda:0') | Val Loss tensor(115.1280, device='cuda:0') | Dropout 0.0 0.0
Epoch 56 | Train loss tensor(116.8550, device='cuda:0') | Val Loss tensor(114.5990, device='cuda:0') | Dropout 0.0 0.0
Epoch 57 | Train loss tensor(116.8226, device='cuda:0') | Val Loss tensor(114.0302, device='cuda:0') | Dropout 0.0 0.0
Epoch 58 | Train loss tensor(116.8249, device='cuda:0') | Val Loss tensor(115.8158, device='cuda:0') | Dropout 0.0 0.0
Epoch 59 | Train loss tensor(116.7104, device='cuda:0') | Val Loss tensor(114.5898, device='cuda:0') | Dropout 0.0 0.0
Epoch 60 | Train loss tensor(116.7898, device='cuda:0') | Val Loss tensor(114.7729, device='cuda:0') | Dropout 0.0 0.0
Epoch 61 | Train loss tensor(116.7692, device='cuda:0') | Val Loss tensor(115.4129, device='cuda:0') | Dropout 0.0 0.0
Epoch 62 | Train loss tensor(116.8258, device='cuda:0') | Val Loss tensor(115.0003, device='cuda:0') | Dropout 0.0 0.0
Epoch 63 | Train loss tensor(116.8099, device='cuda:0') | Val Loss tensor(114.8805, device='cuda:0') | Dropout 0.0 0.0
Epoch 64 | Train loss tensor(116.7080, device='cuda:0') | Val Loss tensor(115.2753, device='cuda:0') | Dropout 0.0 0.0
Epoch 65 | Train loss tensor(116.8652, device='cuda:0') | Val Loss tensor(116.0939, device='cuda:0') | Dropout 0.0 0.0
Epoch 66 | Train loss tensor(116.7623, device='cuda:0') | Val Loss tensor(114.5836, device='cuda:0') | Dropout 0.0 0.0
Epoch 67 | Train loss tensor(116.7656, device='cuda:0') | Val Loss tensor(114.8776, device='cuda:0') | Dropout 0.0 0.0
Epoch 68 | Train loss tensor(116.8825, device='cuda:0') | Val Loss tensor(114.7071, device='cuda:0') | Dropout 0.0 0.0
Epoch 69 | Train loss tensor(116.7390, device='cuda:0') | Val Loss tensor(114.7090, device='cuda:0') | Dropout 0.0 0.0
Epoch 70 | Train loss tensor(116.7066, device='cuda:0') | Val Loss tensor(114.6259, device='cuda:0') | Dropout 0.0 0.0
Epoch 71 | Train loss tensor(116.8027, device='cuda:0') | Val Loss tensor(114.7820, device='cuda:0') | Dropout 0.0 0.0
Epoch 72 | Train loss tensor(116.7283, device='cuda:0') | Val Loss tensor(114.7251, device='cuda:0') | Dropout 0.0 0.0
Epoch 73 | Train loss tensor(116.7306, device='cuda:0') | Val Loss tensor(114.9926, device='cuda:0') | Dropout 0.0 0.0
Epoch 74 | Train loss tensor(116.7377, device='cuda:0') | Val Loss tensor(115.1612, device='cuda:0') | Dropout 0.0 0.0
Epoch 75 | Train loss tensor(116.8166, device='cuda:0') | Val Loss tensor(114.4403, device='cuda:0') | Dropout 0.0 0.0
Epoch 76 | Train loss tensor(116.6244, device='cuda:0') | Val Loss tensor(114.8362, device='cuda:0') | Dropout 0.0 0.0
Epoch 77 | Train loss tensor(116.7058, device='cuda:0') | Val Loss tensor(114.9831, device='cuda:0') | Dropout 0.0 0.0
Epoch 78 | Train loss tensor(116.5285, device='cuda:0') | Val Loss tensor(114.7095, device='cuda:0') | Dropout 0.0 0.0
Epoch 79 | Train loss tensor(116.6036, device='cuda:0') | Val Loss tensor(114.6314, device='cuda:0') | Dropout 0.0 0.0
Epoch 80 | Train loss tensor(116.7888, device='cuda:0') | Val Loss tensor(114.9863, device='cuda:0') | Dropout 0.0 0.0
Epoch 81 | Train loss tensor(116.6058, device='cuda:0') | Val Loss tensor(114.7829, device='cuda:0') | Dropout 0.0 0.0
Epoch 82 | Train loss tensor(116.5607, device='cuda:0') | Val Loss tensor(115.8546, device='cuda:0') | Dropout 0.0 0.0
Epoch 83 | Train loss tensor(116.7265, device='cuda:0') | Val Loss tensor(114.9316, device='cuda:0') | Dropout 0.0 0.0
Epoch 84 | Train loss tensor(116.7331, device='cuda:0') | Val Loss tensor(115.5492, device='cuda:0') | Dropout 0.0 0.0
Epoch 85 | Train loss tensor(116.6009, device='cuda:0') | Val Loss tensor(115.0415, device='cuda:0') | Dropout 0.0 0.0
Epoch 86 | Train loss tensor(116.6345, device='cuda:0') | Val Loss tensor(114.7927, device='cuda:0') | Dropout 0.0 0.0
Epoch 87 | Train loss tensor(116.6660, device='cuda:0') | Val Loss tensor(115.1702, device='cuda:0') | Dropout 0.0 0.0
Epoch 88 | Train loss tensor(116.7221, device='cuda:0') | Val Loss tensor(114.6314, device='cuda:0') | Dropout 0.0 0.0
Epoch 89 | Train loss tensor(116.7044, device='cuda:0') | Val Loss tensor(114.3851, device='cuda:0') | Dropout 0.0 0.0
Epoch 90 | Train loss tensor(116.7647, device='cuda:0') | Val Loss tensor(114.5509, device='cuda:0') | Dropout 0.0 0.0
Epoch 91 | Train loss tensor(116.6619, device='cuda:0') | Val Loss tensor(114.6914, device='cuda:0') | Dropout 0.0 0.0
Epoch 92 | Train loss tensor(116.6971, device='cuda:0') | Val Loss tensor(114.8814, device='cuda:0') | Dropout 0.0 0.0
Epoch 93 | Train loss tensor(116.6969, device='cuda:0') | Val Loss tensor(114.7803, device='cuda:0') | Dropout 0.0 0.0
Epoch 94 | Train loss tensor(116.6955, device='cuda:0') | Val Loss tensor(114.8572, device='cuda:0') | Dropout 0.0 0.0
Epoch 95 | Train loss tensor(116.5943, device='cuda:0') | Val Loss tensor(114.7661, device='cuda:0') | Dropout 0.0 0.0
Epoch 96 | Train loss tensor(116.5636, device='cuda:0') | Val Loss tensor(114.1157, device='cuda:0') | Dropout 0.0 0.0
Epoch 97 | Train loss tensor(116.4193, device='cuda:0') | Val Loss tensor(113.9734, device='cuda:0') | Dropout 0.0 0.0
Epoch 98 | Train loss tensor(116.4674, device='cuda:0') | Val Loss tensor(113.8717, device='cuda:0') | Dropout 0.0 0.0
Epoch 99 | Train loss tensor(116.3154, device='cuda:0') | Val Loss tensor(114.2186, device='cuda:0') | Dropout 0.0 0.0
Epoch 100 | Train loss tensor(116.1567, device='cuda:0') | Val Loss tensor(113.9234, device='cuda:0') | Dropout 0.0 0.0
Epoch 101 | Train loss tensor(116.0651, device='cuda:0') | Val Loss tensor(113.7594, device='cuda:0') | Dropout 0.0 0.0
Epoch 102 | Train loss tensor(115.8727, device='cuda:0') | Val Loss tensor(113.2106, device='cuda:0') | Dropout 0.0 0.0
Epoch 103 | Train loss tensor(115.9583, device='cuda:0') | Val Loss tensor(113.2546, device='cuda:0') | Dropout 0.0 0.0
Epoch 104 | Train loss tensor(115.1564, device='cuda:0') | Val Loss tensor(111.9464, device='cuda:0') | Dropout 0.0 0.0
Epoch 105 | Train loss tensor(114.8740, device='cuda:0') | Val Loss tensor(110.6653, device='cuda:0') | Dropout 0.0 0.0
Epoch 106 | Train loss tensor(114.1446, device='cuda:0') | Val Loss tensor(110.2303, device='cuda:0') | Dropout 0.0 0.0
Epoch 107 | Train loss tensor(113.2736, device='cuda:0') | Val Loss tensor(109.9672, device='cuda:0') | Dropout 0.0 0.0
Epoch 108 | Train loss tensor(112.2341, device='cuda:0') | Val Loss tensor(109.4795, device='cuda:0') | Dropout 0.0 0.0
Epoch 109 | Train loss tensor(112.4046, device='cuda:0') | Val Loss tensor(109.2052, device='cuda:0') | Dropout 0.0 0.0
Epoch 110 | Train loss tensor(111.0656, device='cuda:0') | Val Loss tensor(108.3468, device='cuda:0') | Dropout 0.0 0.0
Epoch 111 | Train loss tensor(110.1556, device='cuda:0') | Val Loss tensor(106.3410, device='cuda:0') | Dropout 0.0 0.0
Epoch 112 | Train loss tensor(109.5668, device='cuda:0') | Val Loss tensor(107.8343, device='cuda:0') | Dropout 0.0 0.0
Epoch 113 | Train loss tensor(108.0240, device='cuda:0') | Val Loss tensor(104.2833, device='cuda:0') | Dropout 0.0 0.0
Epoch 114 | Train loss tensor(108.0829, device='cuda:0') | Val Loss tensor(108.4263, device='cuda:0') | Dropout 0.0 0.0
Epoch 115 | Train loss tensor(107.1722, device='cuda:0') | Val Loss tensor(104.1233, device='cuda:0') | Dropout 0.0 0.0
Epoch 116 | Train loss tensor(105.9014, device='cuda:0') | Val Loss tensor(103.1945, device='cuda:0') | Dropout 0.0 0.0
Epoch 117 | Train loss tensor(105.6041, device='cuda:0') | Val Loss tensor(101.9873, device='cuda:0') | Dropout 0.0 0.0
Epoch 118 | Train loss tensor(104.3512, device='cuda:0') | Val Loss tensor(102.1044, device='cuda:0') | Dropout 0.0 0.0
Epoch 119 | Train loss tensor(103.2751, device='cuda:0') | Val Loss tensor(100.0364, device='cuda:0') | Dropout 0.0 0.0
Epoch 120 | Train loss tensor(102.5435, device='cuda:0') | Val Loss tensor(100.5867, device='cuda:0') | Dropout 0.0 0.0
Epoch 121 | Train loss tensor(101.2250, device='cuda:0') | Val Loss tensor(98.8950, device='cuda:0') | Dropout 0.0 0.0
Epoch 122 | Train loss tensor(99.9241, device='cuda:0') | Val Loss tensor(97.9535, device='cuda:0') | Dropout 0.0 0.0
Epoch 123 | Train loss tensor(99.0304, device='cuda:0') | Val Loss tensor(96.3277, device='cuda:0') | Dropout 0.0 0.0
Epoch 124 | Train loss tensor(97.0472, device='cuda:0') | Val Loss tensor(90.9654, device='cuda:0') | Dropout 0.0 0.0
Epoch 125 | Train loss tensor(93.5725, device='cuda:0') | Val Loss tensor(87.0145, device='cuda:0') | Dropout 0.0 0.0
Epoch 126 | Train loss tensor(91.5983, device='cuda:0') | Val Loss tensor(90.1463, device='cuda:0') | Dropout 0.0 0.0
Epoch 127 | Train loss tensor(89.1985, device='cuda:0') | Val Loss tensor(88.2945, device='cuda:0') | Dropout 0.0 0.0
Epoch 128 | Train loss tensor(87.1221, device='cuda:0') | Val Loss tensor(85.6577, device='cuda:0') | Dropout 0.0 0.0
Epoch 129 | Train loss tensor(85.9289, device='cuda:0') | Val Loss tensor(83.2422, device='cuda:0') | Dropout 0.0 0.0
Epoch 130 | Train loss tensor(85.0572, device='cuda:0') | Val Loss tensor(81.3356, device='cuda:0') | Dropout 0.0 0.0
Epoch 131 | Train loss tensor(81.3034, device='cuda:0') | Val Loss tensor(78.2591, device='cuda:0') | Dropout 0.0 0.0
Epoch 132 | Train loss tensor(79.9113, device='cuda:0') | Val Loss tensor(81.2673, device='cuda:0') | Dropout 0.0 0.0
Epoch 133 | Train loss tensor(78.5888, device='cuda:0') | Val Loss tensor(78.3222, device='cuda:0') | Dropout 0.0 0.0
Epoch 134 | Train loss tensor(77.3260, device='cuda:0') | Val Loss tensor(76.8951, device='cuda:0') | Dropout 0.0 0.0
Epoch 135 | Train loss tensor(74.7394, device='cuda:0') | Val Loss tensor(75.2528, device='cuda:0') | Dropout 0.0 0.0
Epoch 136 | Train loss tensor(73.9202, device='cuda:0') | Val Loss tensor(74.6385, device='cuda:0') | Dropout 0.0 0.0
Epoch 137 | Train loss tensor(72.8145, device='cuda:0') | Val Loss tensor(71.2788, device='cuda:0') | Dropout 0.0 0.0
Epoch 138 | Train loss tensor(69.3459, device='cuda:0') | Val Loss tensor(75.6728, device='cuda:0') | Dropout 0.0 0.0
Epoch 139 | Train loss tensor(69.1098, device='cuda:0') | Val Loss tensor(75.2294, device='cuda:0') | Dropout 0.0 0.0
Epoch 140 | Train loss tensor(68.3872, device='cuda:0') | Val Loss tensor(67.6304, device='cuda:0') | Dropout 0.0 0.0
Epoch 141 | Train loss tensor(67.1324, device='cuda:0') | Val Loss tensor(65.4922, device='cuda:0') | Dropout 0.0 0.0
Epoch 142 | Train loss tensor(66.5727, device='cuda:0') | Val Loss tensor(71.1651, device='cuda:0') | Dropout 0.0 0.0
Epoch 143 | Train loss tensor(64.6601, device='cuda:0') | Val Loss tensor(65.3912, device='cuda:0') | Dropout 0.0 0.0
Epoch 144 | Train loss tensor(63.4453, device='cuda:0') | Val Loss tensor(64.6784, device='cuda:0') | Dropout 0.0 0.0
Epoch 145 | Train loss tensor(62.8140, device='cuda:0') | Val Loss tensor(66.6848, device='cuda:0') | Dropout 0.0 0.0
Epoch 146 | Train loss tensor(61.7494, device='cuda:0') | Val Loss tensor(63.0877, device='cuda:0') | Dropout 0.0 0.0
