Epoch 0 | Train loss tensor(116.9216, device='cuda:0') | Val Loss tensor(118.4151, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(116.2162, device='cuda:0') | Val Loss tensor(123.4574, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(113.8457, device='cuda:0') | Val Loss tensor(136.1369, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(79.2369, device='cuda:0') | Val Loss tensor(150.6491, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(42.4830, device='cuda:0') | Val Loss tensor(155.0218, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(109.8457, device='cuda:0') | Val Loss tensor(102.2332, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(103.3852, device='cuda:0') | Val Loss tensor(95.1883, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(97.2158, device='cuda:0') | Val Loss tensor(87.9714, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(93.4214, device='cuda:0') | Val Loss tensor(86.1297, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(90.4707, device='cuda:0') | Val Loss tensor(86.4369, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(87.5596, device='cuda:0') | Val Loss tensor(81.1779, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(86.2478, device='cuda:0') | Val Loss tensor(79.9552, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(85.9319, device='cuda:0') | Val Loss tensor(77.3760, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(83.8078, device='cuda:0') | Val Loss tensor(79.8088, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(82.3462, device='cuda:0') | Val Loss tensor(76.1694, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(82.4246, device='cuda:0') | Val Loss tensor(79.0054, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(81.1790, device='cuda:0') | Val Loss tensor(73.9202, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(80.0346, device='cuda:0') | Val Loss tensor(73.3022, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(78.9213, device='cuda:0') | Val Loss tensor(76.9667, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(77.8447, device='cuda:0') | Val Loss tensor(70.9558, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(77.3699, device='cuda:0') | Val Loss tensor(76.1379, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(76.3875, device='cuda:0') | Val Loss tensor(69.4941, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(76.3303, device='cuda:0') | Val Loss tensor(70.3712, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(74.6798, device='cuda:0') | Val Loss tensor(70.2675, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(74.8057, device='cuda:0') | Val Loss tensor(65.2556, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(72.5094, device='cuda:0') | Val Loss tensor(66.1831, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(72.0500, device='cuda:0') | Val Loss tensor(67.3615, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(70.4724, device='cuda:0') | Val Loss tensor(63.6121, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(70.9101, device='cuda:0') | Val Loss tensor(64.8331, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(69.0474, device='cuda:0') | Val Loss tensor(64.1769, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(68.8731, device='cuda:0') | Val Loss tensor(61.7832, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(68.0866, device='cuda:0') | Val Loss tensor(63.3514, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(67.2977, device='cuda:0') | Val Loss tensor(61.1619, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(66.8366, device='cuda:0') | Val Loss tensor(64.0407, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(65.0466, device='cuda:0') | Val Loss tensor(71.5268, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(65.2700, device='cuda:0') | Val Loss tensor(58.7708, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(66.0418, device='cuda:0') | Val Loss tensor(62.8905, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(64.4689, device='cuda:0') | Val Loss tensor(58.4167, device='cuda:0') | Dropout 0.0 0.0
Epoch 38 | Train loss tensor(62.3302, device='cuda:0') | Val Loss tensor(56.8326, device='cuda:0') | Dropout 0.0 0.0
Epoch 39 | Train loss tensor(62.4903, device='cuda:0') | Val Loss tensor(58.9625, device='cuda:0') | Dropout 0.0 0.0
Epoch 40 | Train loss tensor(62.5909, device='cuda:0') | Val Loss tensor(56.1461, device='cuda:0') | Dropout 0.0 0.0
Epoch 41 | Train loss tensor(61.6719, device='cuda:0') | Val Loss tensor(58.1167, device='cuda:0') | Dropout 0.0 0.0
Epoch 42 | Train loss tensor(60.6595, device='cuda:0') | Val Loss tensor(60.6391, device='cuda:0') | Dropout 0.0 0.0
Epoch 43 | Train loss tensor(60.3213, device='cuda:0') | Val Loss tensor(57.8838, device='cuda:0') | Dropout 0.0 0.0
Epoch 44 | Train loss tensor(59.4751, device='cuda:0') | Val Loss tensor(59.0657, device='cuda:0') | Dropout 0.0 0.0
Epoch 45 | Train loss tensor(57.7358, device='cuda:0') | Val Loss tensor(54.4318, device='cuda:0') | Dropout 0.0 0.0
Epoch 46 | Train loss tensor(58.9966, device='cuda:0') | Val Loss tensor(53.6221, device='cuda:0') | Dropout 0.0 0.0
Epoch 47 | Train loss tensor(58.1276, device='cuda:0') | Val Loss tensor(55.6671, device='cuda:0') | Dropout 0.0 0.0
Epoch 48 | Train loss tensor(56.3412, device='cuda:0') | Val Loss tensor(53.1971, device='cuda:0') | Dropout 0.0 0.0
