Epoch 0 | Train loss tensor(116.9837, device='cuda:0') | Val Loss tensor(114.4867, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(116.4224, device='cuda:0') | Val Loss tensor(120.1411, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(115.7081, device='cuda:0') | Val Loss tensor(132.0631, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(110.3705, device='cuda:0') | Val Loss tensor(131.6190, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(78.2556, device='cuda:0') | Val Loss tensor(146.9391, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(112.8616, device='cuda:0') | Val Loss tensor(106.0596, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(109.1898, device='cuda:0') | Val Loss tensor(104.3246, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(106.3446, device='cuda:0') | Val Loss tensor(100.0366, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(103.4465, device='cuda:0') | Val Loss tensor(100.2377, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(100.9386, device='cuda:0') | Val Loss tensor(99.2139, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(97.5603, device='cuda:0') | Val Loss tensor(93.7051, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(95.2899, device='cuda:0') | Val Loss tensor(84.7969, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(92.4801, device='cuda:0') | Val Loss tensor(81.6367, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(90.1995, device='cuda:0') | Val Loss tensor(84.6118, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(88.2222, device='cuda:0') | Val Loss tensor(79.0642, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(85.3745, device='cuda:0') | Val Loss tensor(80.8620, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(84.1218, device='cuda:0') | Val Loss tensor(79.0155, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(82.5734, device='cuda:0') | Val Loss tensor(77.2245, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(82.2223, device='cuda:0') | Val Loss tensor(76.9711, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(79.9457, device='cuda:0') | Val Loss tensor(77.7307, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(79.3222, device='cuda:0') | Val Loss tensor(73.5086, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(77.1420, device='cuda:0') | Val Loss tensor(72.1888, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(77.0101, device='cuda:0') | Val Loss tensor(70.5737, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(76.2469, device='cuda:0') | Val Loss tensor(69.3355, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(74.1080, device='cuda:0') | Val Loss tensor(73.0161, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(73.3554, device='cuda:0') | Val Loss tensor(71.1085, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(73.3488, device='cuda:0') | Val Loss tensor(71.4221, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(72.8546, device='cuda:0') | Val Loss tensor(67.5540, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(72.1028, device='cuda:0') | Val Loss tensor(67.6868, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(70.1332, device='cuda:0') | Val Loss tensor(68.5799, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(70.2553, device='cuda:0') | Val Loss tensor(66.4768, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(70.2369, device='cuda:0') | Val Loss tensor(65.2337, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(68.6415, device='cuda:0') | Val Loss tensor(65.2880, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(68.3039, device='cuda:0') | Val Loss tensor(65.0089, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(66.2082, device='cuda:0') | Val Loss tensor(66.4470, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(66.7242, device='cuda:0') | Val Loss tensor(63.6994, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(65.3252, device='cuda:0') | Val Loss tensor(62.4427, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(64.3857, device='cuda:0') | Val Loss tensor(60.9327, device='cuda:0') | Dropout 0.0 0.0
Epoch 38 | Train loss tensor(63.5287, device='cuda:0') | Val Loss tensor(59.8807, device='cuda:0') | Dropout 0.0 0.0
Epoch 39 | Train loss tensor(63.5729, device='cuda:0') | Val Loss tensor(59.0431, device='cuda:0') | Dropout 0.0 0.0
Epoch 40 | Train loss tensor(62.7085, device='cuda:0') | Val Loss tensor(58.4016, device='cuda:0') | Dropout 0.0 0.0
Epoch 41 | Train loss tensor(62.1039, device='cuda:0') | Val Loss tensor(57.7934, device='cuda:0') | Dropout 0.0 0.0
Epoch 42 | Train loss tensor(61.1833, device='cuda:0') | Val Loss tensor(57.4827, device='cuda:0') | Dropout 0.0 0.0
Epoch 43 | Train loss tensor(61.1830, device='cuda:0') | Val Loss tensor(61.1671, device='cuda:0') | Dropout 0.0 0.0
Epoch 44 | Train loss tensor(60.4645, device='cuda:0') | Val Loss tensor(59.5454, device='cuda:0') | Dropout 0.0 0.0
Epoch 45 | Train loss tensor(58.4886, device='cuda:0') | Val Loss tensor(55.2887, device='cuda:0') | Dropout 0.0 0.0
Epoch 46 | Train loss tensor(57.9795, device='cuda:0') | Val Loss tensor(54.7727, device='cuda:0') | Dropout 0.0 0.0
Epoch 47 | Train loss tensor(57.4275, device='cuda:0') | Val Loss tensor(52.5577, device='cuda:0') | Dropout 0.0 0.0
Epoch 48 | Train loss tensor(58.0326, device='cuda:0') | Val Loss tensor(55.1859, device='cuda:0') | Dropout 0.0 0.0
Epoch 49 | Train loss tensor(56.7745, device='cuda:0') | Val Loss tensor(52.5736, device='cuda:0') | Dropout 0.0 0.0
Epoch 50 | Train loss tensor(55.9091, device='cuda:0') | Val Loss tensor(52.2152, device='cuda:0') | Dropout 0.0 0.0
Epoch 51 | Train loss tensor(54.7601, device='cuda:0') | Val Loss tensor(56.1673, device='cuda:0') | Dropout 0.0 0.0
Epoch 52 | Train loss tensor(55.1324, device='cuda:0') | Val Loss tensor(53.0952, device='cuda:0') | Dropout 0.0 0.0
Epoch 53 | Train loss tensor(54.2205, device='cuda:0') | Val Loss tensor(53.5076, device='cuda:0') | Dropout 0.0 0.0
Epoch 54 | Train loss tensor(53.8285, device='cuda:0') | Val Loss tensor(56.3014, device='cuda:0') | Dropout 0.0 0.0
Epoch 55 | Train loss tensor(53.5613, device='cuda:0') | Val Loss tensor(51.5130, device='cuda:0') | Dropout 0.0 0.0
Epoch 56 | Train loss tensor(51.7436, device='cuda:0') | Val Loss tensor(49.2456, device='cuda:0') | Dropout 0.0 0.0
Epoch 57 | Train loss tensor(52.3631, device='cuda:0') | Val Loss tensor(49.5422, device='cuda:0') | Dropout 0.0 0.0
Epoch 58 | Train loss tensor(52.4030, device='cuda:0') | Val Loss tensor(47.9754, device='cuda:0') | Dropout 0.0 0.0
Epoch 59 | Train loss tensor(52.1360, device='cuda:0') | Val Loss tensor(47.4625, device='cuda:0') | Dropout 0.0 0.0
Epoch 60 | Train loss tensor(50.5269, device='cuda:0') | Val Loss tensor(51.4748, device='cuda:0') | Dropout 0.0 0.0
Epoch 61 | Train loss tensor(50.9294, device='cuda:0') | Val Loss tensor(47.2448, device='cuda:0') | Dropout 0.0 0.0
Epoch 62 | Train loss tensor(50.5630, device='cuda:0') | Val Loss tensor(48.3928, device='cuda:0') | Dropout 0.0 0.0
Epoch 63 | Train loss tensor(49.3309, device='cuda:0') | Val Loss tensor(44.8685, device='cuda:0') | Dropout 0.0 0.0
Epoch 64 | Train loss tensor(49.0621, device='cuda:0') | Val Loss tensor(46.4006, device='cuda:0') | Dropout 0.0 0.0
Epoch 65 | Train loss tensor(49.3147, device='cuda:0') | Val Loss tensor(45.9286, device='cuda:0') | Dropout 0.0 0.0
Epoch 66 | Train loss tensor(47.9911, device='cuda:0') | Val Loss tensor(44.5280, device='cuda:0') | Dropout 0.0 0.0
Epoch 67 | Train loss tensor(48.1891, device='cuda:0') | Val Loss tensor(46.0982, device='cuda:0') | Dropout 0.0 0.0
Epoch 68 | Train loss tensor(47.0561, device='cuda:0') | Val Loss tensor(45.8015, device='cuda:0') | Dropout 0.0 0.0
Epoch 69 | Train loss tensor(46.5106, device='cuda:0') | Val Loss tensor(42.6758, device='cuda:0') | Dropout 0.0 0.0
Epoch 70 | Train loss tensor(46.7828, device='cuda:0') | Val Loss tensor(43.7820, device='cuda:0') | Dropout 0.0 0.0
Epoch 71 | Train loss tensor(45.7306, device='cuda:0') | Val Loss tensor(43.5948, device='cuda:0') | Dropout 0.0 0.0
Epoch 72 | Train loss tensor(46.1926, device='cuda:0') | Val Loss tensor(43.2293, device='cuda:0') | Dropout 0.0 0.0
Epoch 73 | Train loss tensor(47.1982, device='cuda:0') | Val Loss tensor(41.5740, device='cuda:0') | Dropout 0.0 0.0
Epoch 74 | Train loss tensor(45.3458, device='cuda:0') | Val Loss tensor(38.4716, device='cuda:0') | Dropout 0.0 0.0
Epoch 75 | Train loss tensor(44.7679, device='cuda:0') | Val Loss tensor(42.0220, device='cuda:0') | Dropout 0.0 0.0
Epoch 76 | Train loss tensor(44.3461, device='cuda:0') | Val Loss tensor(41.0566, device='cuda:0') | Dropout 0.0 0.0
Epoch 77 | Train loss tensor(44.0708, device='cuda:0') | Val Loss tensor(40.5740, device='cuda:0') | Dropout 0.0 0.0
Epoch 78 | Train loss tensor(44.5585, device='cuda:0') | Val Loss tensor(41.0991, device='cuda:0') | Dropout 0.0 0.0
Epoch 79 | Train loss tensor(43.8793, device='cuda:0') | Val Loss tensor(39.0480, device='cuda:0') | Dropout 0.0 0.0
Epoch 80 | Train loss tensor(43.1109, device='cuda:0') | Val Loss tensor(36.2996, device='cuda:0') | Dropout 0.0 0.0
Epoch 81 | Train loss tensor(42.8769, device='cuda:0') | Val Loss tensor(38.1068, device='cuda:0') | Dropout 0.0 0.0
Epoch 82 | Train loss tensor(42.8333, device='cuda:0') | Val Loss tensor(42.0897, device='cuda:0') | Dropout 0.0 0.0
Epoch 83 | Train loss tensor(42.5544, device='cuda:0') | Val Loss tensor(42.2787, device='cuda:0') | Dropout 0.0 0.0
Epoch 84 | Train loss tensor(42.8305, device='cuda:0') | Val Loss tensor(34.9245, device='cuda:0') | Dropout 0.0 0.0
Epoch 85 | Train loss tensor(41.5686, device='cuda:0') | Val Loss tensor(37.8515, device='cuda:0') | Dropout 0.0 0.0
Epoch 86 | Train loss tensor(41.1742, device='cuda:0') | Val Loss tensor(39.5381, device='cuda:0') | Dropout 0.0 0.0
Epoch 87 | Train loss tensor(40.8620, device='cuda:0') | Val Loss tensor(36.9999, device='cuda:0') | Dropout 0.0 0.0
Epoch 88 | Train loss tensor(41.6819, device='cuda:0') | Val Loss tensor(37.3400, device='cuda:0') | Dropout 0.0 0.0
Epoch 89 | Train loss tensor(40.1949, device='cuda:0') | Val Loss tensor(38.3267, device='cuda:0') | Dropout 0.0 0.0
Epoch 90 | Train loss tensor(40.6355, device='cuda:0') | Val Loss tensor(34.7257, device='cuda:0') | Dropout 0.0 0.0
Epoch 91 | Train loss tensor(39.5630, device='cuda:0') | Val Loss tensor(34.8109, device='cuda:0') | Dropout 0.0 0.0
Epoch 92 | Train loss tensor(39.0522, device='cuda:0') | Val Loss tensor(38.0217, device='cuda:0') | Dropout 0.0 0.0
Epoch 93 | Train loss tensor(38.6131, device='cuda:0') | Val Loss tensor(36.9626, device='cuda:0') | Dropout 0.0 0.0
Epoch 94 | Train loss tensor(39.3246, device='cuda:0') | Val Loss tensor(34.4333, device='cuda:0') | Dropout 0.0 0.0
Epoch 95 | Train loss tensor(38.2013, device='cuda:0') | Val Loss tensor(36.6204, device='cuda:0') | Dropout 0.0 0.0
Epoch 96 | Train loss tensor(38.3031, device='cuda:0') | Val Loss tensor(36.4757, device='cuda:0') | Dropout 0.0 0.0
Epoch 97 | Train loss tensor(39.2076, device='cuda:0') | Val Loss tensor(36.4582, device='cuda:0') | Dropout 0.0 0.0
Epoch 98 | Train loss tensor(38.2423, device='cuda:0') | Val Loss tensor(36.8728, device='cuda:0') | Dropout 0.0 0.0
Epoch 99 | Train loss tensor(38.5902, device='cuda:0') | Val Loss tensor(35.5464, device='cuda:0') | Dropout 0.0 0.0
Epoch 100 | Train loss tensor(38.6539, device='cuda:0') | Val Loss tensor(36.6287, device='cuda:0') | Dropout 0.0 0.0
Epoch 101 | Train loss tensor(37.5910, device='cuda:0') | Val Loss tensor(33.2510, device='cuda:0') | Dropout 0.0 0.0
Epoch 102 | Train loss tensor(38.1007, device='cuda:0') | Val Loss tensor(33.7091, device='cuda:0') | Dropout 0.0 0.0
Epoch 103 | Train loss tensor(37.2054, device='cuda:0') | Val Loss tensor(32.4000, device='cuda:0') | Dropout 0.0 0.0
Epoch 104 | Train loss tensor(37.3888, device='cuda:0') | Val Loss tensor(36.5739, device='cuda:0') | Dropout 0.0 0.0
Epoch 105 | Train loss tensor(37.4245, device='cuda:0') | Val Loss tensor(34.2477, device='cuda:0') | Dropout 0.0 0.0
Epoch 106 | Train loss tensor(37.5512, device='cuda:0') | Val Loss tensor(35.8404, device='cuda:0') | Dropout 0.0 0.0
Epoch 107 | Train loss tensor(36.6571, device='cuda:0') | Val Loss tensor(33.2833, device='cuda:0') | Dropout 0.0 0.0
Epoch 108 | Train loss tensor(36.1763, device='cuda:0') | Val Loss tensor(36.4909, device='cuda:0') | Dropout 0.0 0.0
Epoch 109 | Train loss tensor(36.5932, device='cuda:0') | Val Loss tensor(32.7611, device='cuda:0') | Dropout 0.0 0.0
Epoch 110 | Train loss tensor(37.4078, device='cuda:0') | Val Loss tensor(31.5775, device='cuda:0') | Dropout 0.0 0.0
Epoch 111 | Train loss tensor(36.6051, device='cuda:0') | Val Loss tensor(31.7488, device='cuda:0') | Dropout 0.0 0.0
Epoch 112 | Train loss tensor(35.9699, device='cuda:0') | Val Loss tensor(32.9162, device='cuda:0') | Dropout 0.0 0.0
Epoch 113 | Train loss tensor(36.1554, device='cuda:0') | Val Loss tensor(33.0000, device='cuda:0') | Dropout 0.0 0.0
Epoch 114 | Train loss tensor(35.7857, device='cuda:0') | Val Loss tensor(32.4645, device='cuda:0') | Dropout 0.0 0.0
Epoch 115 | Train loss tensor(36.4417, device='cuda:0') | Val Loss tensor(33.4547, device='cuda:0') | Dropout 0.0 0.0
Epoch 116 | Train loss tensor(36.3437, device='cuda:0') | Val Loss tensor(33.3669, device='cuda:0') | Dropout 0.0 0.0
Epoch 117 | Train loss tensor(34.6705, device='cuda:0') | Val Loss tensor(33.2528, device='cuda:0') | Dropout 0.0 0.0
Epoch 118 | Train loss tensor(35.4571, device='cuda:0') | Val Loss tensor(36.9417, device='cuda:0') | Dropout 0.0 0.0
Epoch 119 | Train loss tensor(35.5367, device='cuda:0') | Val Loss tensor(33.1137, device='cuda:0') | Dropout 0.0 0.0
Epoch 120 | Train loss tensor(34.9631, device='cuda:0') | Val Loss tensor(31.3444, device='cuda:0') | Dropout 0.0 0.0
Epoch 121 | Train loss tensor(34.8182, device='cuda:0') | Val Loss tensor(32.1233, device='cuda:0') | Dropout 0.0 0.0
Epoch 122 | Train loss tensor(35.2242, device='cuda:0') | Val Loss tensor(32.5104, device='cuda:0') | Dropout 0.0 0.0
Epoch 123 | Train loss tensor(34.6348, device='cuda:0') | Val Loss tensor(33.9182, device='cuda:0') | Dropout 0.0 0.0
