Epoch 0 | Train loss tensor(117.0882, device='cuda:0') | Val Loss tensor(113.7470, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(116.8196, device='cuda:0') | Val Loss tensor(113.5798, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(116.7285, device='cuda:0') | Val Loss tensor(112.9401, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(116.6619, device='cuda:0') | Val Loss tensor(113.7379, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(116.6362, device='cuda:0') | Val Loss tensor(113.3659, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(117.0429, device='cuda:0') | Val Loss tensor(112.9379, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(116.9942, device='cuda:0') | Val Loss tensor(113.1126, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(116.9819, device='cuda:0') | Val Loss tensor(113.2970, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(116.9712, device='cuda:0') | Val Loss tensor(112.8744, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(116.9736, device='cuda:0') | Val Loss tensor(113.3203, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(116.9395, device='cuda:0') | Val Loss tensor(112.9544, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(116.9642, device='cuda:0') | Val Loss tensor(113.5978, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(116.8499, device='cuda:0') | Val Loss tensor(113.2259, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(116.9243, device='cuda:0') | Val Loss tensor(113.4525, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(116.9847, device='cuda:0') | Val Loss tensor(113.2845, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(116.9913, device='cuda:0') | Val Loss tensor(112.9474, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(116.9963, device='cuda:0') | Val Loss tensor(113.2020, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(116.9550, device='cuda:0') | Val Loss tensor(113.5034, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(116.9019, device='cuda:0') | Val Loss tensor(113.3082, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(116.9962, device='cuda:0') | Val Loss tensor(113.5885, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(116.9592, device='cuda:0') | Val Loss tensor(113.2553, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(116.9267, device='cuda:0') | Val Loss tensor(113.0490, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(116.9774, device='cuda:0') | Val Loss tensor(113.0911, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(116.9254, device='cuda:0') | Val Loss tensor(112.9157, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(117.0033, device='cuda:0') | Val Loss tensor(113.1060, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(117.0231, device='cuda:0') | Val Loss tensor(112.9766, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(117.0023, device='cuda:0') | Val Loss tensor(113.2144, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(116.9818, device='cuda:0') | Val Loss tensor(113.0595, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(117.0422, device='cuda:0') | Val Loss tensor(113.0433, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(117.0458, device='cuda:0') | Val Loss tensor(113.0327, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(117.0232, device='cuda:0') | Val Loss tensor(113.0772, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(116.9265, device='cuda:0') | Val Loss tensor(113.2675, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(116.9676, device='cuda:0') | Val Loss tensor(113.4986, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(117.0216, device='cuda:0') | Val Loss tensor(112.9544, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(116.9339, device='cuda:0') | Val Loss tensor(113.3712, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(116.9901, device='cuda:0') | Val Loss tensor(112.9821, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(117.0796, device='cuda:0') | Val Loss tensor(113.5994, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(117.1634, device='cuda:0') | Val Loss tensor(113.1587, device='cuda:0') | Dropout 0.0 0.0
Epoch 38 | Train loss tensor(117.1082, device='cuda:0') | Val Loss tensor(112.9037, device='cuda:0') | Dropout 0.0 0.0
Epoch 39 | Train loss tensor(117.0527, device='cuda:0') | Val Loss tensor(112.9883, device='cuda:0') | Dropout 0.0 0.0
Epoch 40 | Train loss tensor(117.0197, device='cuda:0') | Val Loss tensor(112.9673, device='cuda:0') | Dropout 0.0 0.0
Epoch 41 | Train loss tensor(117.0887, device='cuda:0') | Val Loss tensor(113.5922, device='cuda:0') | Dropout 0.0 0.0
Epoch 42 | Train loss tensor(117.1835, device='cuda:0') | Val Loss tensor(113.1727, device='cuda:0') | Dropout 0.0 0.0
Epoch 43 | Train loss tensor(116.9894, device='cuda:0') | Val Loss tensor(113.2526, device='cuda:0') | Dropout 0.0 0.0
Epoch 44 | Train loss tensor(117.1254, device='cuda:0') | Val Loss tensor(113.0043, device='cuda:0') | Dropout 0.0 0.0
Epoch 45 | Train loss tensor(116.9146, device='cuda:0') | Val Loss tensor(113.1392, device='cuda:0') | Dropout 0.0 0.0
Epoch 46 | Train loss tensor(117.1270, device='cuda:0') | Val Loss tensor(113.5614, device='cuda:0') | Dropout 0.0 0.0
Epoch 47 | Train loss tensor(117.0341, device='cuda:0') | Val Loss tensor(113.0618, device='cuda:0') | Dropout 0.0 0.0
Epoch 48 | Train loss tensor(117.0368, device='cuda:0') | Val Loss tensor(114.0647, device='cuda:0') | Dropout 0.0 0.0
Epoch 49 | Train loss tensor(117.0685, device='cuda:0') | Val Loss tensor(113.6598, device='cuda:0') | Dropout 0.0 0.0
Epoch 50 | Train loss tensor(116.9847, device='cuda:0') | Val Loss tensor(113.5242, device='cuda:0') | Dropout 0.0 0.0
Epoch 51 | Train loss tensor(117.0294, device='cuda:0') | Val Loss tensor(113.4173, device='cuda:0') | Dropout 0.0 0.0
Epoch 52 | Train loss tensor(116.8734, device='cuda:0') | Val Loss tensor(113.3862, device='cuda:0') | Dropout 0.0 0.0
Epoch 53 | Train loss tensor(116.8778, device='cuda:0') | Val Loss tensor(114.8515, device='cuda:0') | Dropout 0.0 0.0
Epoch 54 | Train loss tensor(116.7964, device='cuda:0') | Val Loss tensor(114.2533, device='cuda:0') | Dropout 0.0 0.0
Epoch 55 | Train loss tensor(116.8609, device='cuda:0') | Val Loss tensor(114.5058, device='cuda:0') | Dropout 0.0 0.0
Epoch 56 | Train loss tensor(116.6946, device='cuda:0') | Val Loss tensor(114.2989, device='cuda:0') | Dropout 0.0 0.0
Epoch 57 | Train loss tensor(116.7304, device='cuda:0') | Val Loss tensor(115.1120, device='cuda:0') | Dropout 0.0 0.0
Epoch 58 | Train loss tensor(116.7421, device='cuda:0') | Val Loss tensor(114.5336, device='cuda:0') | Dropout 0.0 0.0
Epoch 59 | Train loss tensor(116.7858, device='cuda:0') | Val Loss tensor(116.1267, device='cuda:0') | Dropout 0.0 0.0
Epoch 60 | Train loss tensor(116.7155, device='cuda:0') | Val Loss tensor(113.9020, device='cuda:0') | Dropout 0.0 0.0
Epoch 61 | Train loss tensor(116.6840, device='cuda:0') | Val Loss tensor(114.2851, device='cuda:0') | Dropout 0.0 0.0
Epoch 62 | Train loss tensor(116.7038, device='cuda:0') | Val Loss tensor(114.9125, device='cuda:0') | Dropout 0.0 0.0
Epoch 63 | Train loss tensor(116.7088, device='cuda:0') | Val Loss tensor(114.6846, device='cuda:0') | Dropout 0.0 0.0
Epoch 64 | Train loss tensor(116.4121, device='cuda:0') | Val Loss tensor(113.7075, device='cuda:0') | Dropout 0.0 0.0
Epoch 65 | Train loss tensor(116.7521, device='cuda:0') | Val Loss tensor(113.9075, device='cuda:0') | Dropout 0.0 0.0
Epoch 66 | Train loss tensor(116.1352, device='cuda:0') | Val Loss tensor(113.4313, device='cuda:0') | Dropout 0.0 0.0
Epoch 67 | Train loss tensor(115.8778, device='cuda:0') | Val Loss tensor(115.2912, device='cuda:0') | Dropout 0.0 0.0
Epoch 68 | Train loss tensor(115.3638, device='cuda:0') | Val Loss tensor(113.8183, device='cuda:0') | Dropout 0.0 0.0
Epoch 69 | Train loss tensor(113.6832, device='cuda:0') | Val Loss tensor(110.8765, device='cuda:0') | Dropout 0.0 0.0
Epoch 70 | Train loss tensor(111.2867, device='cuda:0') | Val Loss tensor(108.5424, device='cuda:0') | Dropout 0.0 0.0
Epoch 71 | Train loss tensor(108.9405, device='cuda:0') | Val Loss tensor(108.7091, device='cuda:0') | Dropout 0.0 0.0
Epoch 72 | Train loss tensor(107.2512, device='cuda:0') | Val Loss tensor(105.3134, device='cuda:0') | Dropout 0.0 0.0
Epoch 73 | Train loss tensor(106.1405, device='cuda:0') | Val Loss tensor(102.0515, device='cuda:0') | Dropout 0.0 0.0
Epoch 74 | Train loss tensor(102.1861, device='cuda:0') | Val Loss tensor(101.3007, device='cuda:0') | Dropout 0.0 0.0
Epoch 75 | Train loss tensor(99.1922, device='cuda:0') | Val Loss tensor(99.8358, device='cuda:0') | Dropout 0.0 0.0
Epoch 76 | Train loss tensor(95.4958, device='cuda:0') | Val Loss tensor(94.9526, device='cuda:0') | Dropout 0.0 0.0
Epoch 77 | Train loss tensor(93.5105, device='cuda:0') | Val Loss tensor(92.6753, device='cuda:0') | Dropout 0.0 0.0
Epoch 78 | Train loss tensor(90.2574, device='cuda:0') | Val Loss tensor(88.1688, device='cuda:0') | Dropout 0.0 0.0
Epoch 79 | Train loss tensor(88.1067, device='cuda:0') | Val Loss tensor(86.0598, device='cuda:0') | Dropout 0.0 0.0
Epoch 80 | Train loss tensor(85.4002, device='cuda:0') | Val Loss tensor(83.9343, device='cuda:0') | Dropout 0.0 0.0
Epoch 81 | Train loss tensor(82.4333, device='cuda:0') | Val Loss tensor(82.2004, device='cuda:0') | Dropout 0.0 0.0
Epoch 82 | Train loss tensor(79.0266, device='cuda:0') | Val Loss tensor(86.4916, device='cuda:0') | Dropout 0.0 0.0
Epoch 83 | Train loss tensor(76.5454, device='cuda:0') | Val Loss tensor(77.7439, device='cuda:0') | Dropout 0.0 0.0
Epoch 84 | Train loss tensor(75.0251, device='cuda:0') | Val Loss tensor(77.1651, device='cuda:0') | Dropout 0.0 0.0
Epoch 85 | Train loss tensor(72.9417, device='cuda:0') | Val Loss tensor(79.0005, device='cuda:0') | Dropout 0.0 0.0
Epoch 86 | Train loss tensor(71.9360, device='cuda:0') | Val Loss tensor(72.5031, device='cuda:0') | Dropout 0.0 0.0
Epoch 87 | Train loss tensor(69.6949, device='cuda:0') | Val Loss tensor(80.1240, device='cuda:0') | Dropout 0.0 0.0
Epoch 88 | Train loss tensor(69.5329, device='cuda:0') | Val Loss tensor(72.2107, device='cuda:0') | Dropout 0.0 0.0
Epoch 89 | Train loss tensor(67.1811, device='cuda:0') | Val Loss tensor(71.3350, device='cuda:0') | Dropout 0.0 0.0
Epoch 90 | Train loss tensor(66.5401, device='cuda:0') | Val Loss tensor(67.6309, device='cuda:0') | Dropout 0.0 0.0
Epoch 91 | Train loss tensor(65.3445, device='cuda:0') | Val Loss tensor(71.5539, device='cuda:0') | Dropout 0.0 0.0
Epoch 92 | Train loss tensor(64.8054, device='cuda:0') | Val Loss tensor(76.6488, device='cuda:0') | Dropout 0.0 0.0
Epoch 93 | Train loss tensor(62.9693, device='cuda:0') | Val Loss tensor(72.9307, device='cuda:0') | Dropout 0.0 0.0
Epoch 94 | Train loss tensor(63.0141, device='cuda:0') | Val Loss tensor(67.0840, device='cuda:0') | Dropout 0.0 0.0
