Epoch 0 | Train loss tensor(117.0541, device='cuda:0') | Val Loss tensor(112.8650, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(116.7351, device='cuda:0') | Val Loss tensor(113.2170, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(116.8402, device='cuda:0') | Val Loss tensor(112.9664, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(116.7060, device='cuda:0') | Val Loss tensor(113.2596, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(116.6834, device='cuda:0') | Val Loss tensor(112.9661, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(117.0247, device='cuda:0') | Val Loss tensor(113.1578, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(116.9850, device='cuda:0') | Val Loss tensor(113.3440, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(116.9605, device='cuda:0') | Val Loss tensor(113.6202, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(116.9225, device='cuda:0') | Val Loss tensor(112.9965, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(117.0037, device='cuda:0') | Val Loss tensor(113.1938, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(116.9768, device='cuda:0') | Val Loss tensor(112.9393, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(116.9049, device='cuda:0') | Val Loss tensor(113.0921, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(116.9456, device='cuda:0') | Val Loss tensor(113.3253, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(117.0233, device='cuda:0') | Val Loss tensor(113.1546, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(116.8945, device='cuda:0') | Val Loss tensor(113.0034, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(116.9790, device='cuda:0') | Val Loss tensor(112.8451, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(116.9908, device='cuda:0') | Val Loss tensor(113.3226, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(116.9658, device='cuda:0') | Val Loss tensor(112.9589, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(116.8839, device='cuda:0') | Val Loss tensor(113.3482, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(117.0103, device='cuda:0') | Val Loss tensor(112.8981, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(116.9713, device='cuda:0') | Val Loss tensor(113.2600, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(116.9304, device='cuda:0') | Val Loss tensor(113.0388, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(117.0539, device='cuda:0') | Val Loss tensor(113.1120, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(117.0331, device='cuda:0') | Val Loss tensor(113.0583, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(116.9782, device='cuda:0') | Val Loss tensor(113.0123, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(116.9989, device='cuda:0') | Val Loss tensor(113.3238, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(116.9792, device='cuda:0') | Val Loss tensor(113.5662, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(117.0038, device='cuda:0') | Val Loss tensor(112.9806, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(117.1348, device='cuda:0') | Val Loss tensor(113.0593, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(117.0001, device='cuda:0') | Val Loss tensor(113.6722, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(117.0291, device='cuda:0') | Val Loss tensor(113.0093, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(117.0048, device='cuda:0') | Val Loss tensor(112.8694, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(116.9994, device='cuda:0') | Val Loss tensor(112.9754, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(117.0603, device='cuda:0') | Val Loss tensor(113.8186, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(117.0511, device='cuda:0') | Val Loss tensor(113.0519, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(117.0931, device='cuda:0') | Val Loss tensor(114.0722, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(116.9879, device='cuda:0') | Val Loss tensor(113.1276, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(116.9446, device='cuda:0') | Val Loss tensor(113.0809, device='cuda:0') | Dropout 0.0 0.0
Epoch 38 | Train loss tensor(117.0346, device='cuda:0') | Val Loss tensor(113.3219, device='cuda:0') | Dropout 0.0 0.0
Epoch 39 | Train loss tensor(116.9682, device='cuda:0') | Val Loss tensor(112.9612, device='cuda:0') | Dropout 0.0 0.0
Epoch 40 | Train loss tensor(117.2228, device='cuda:0') | Val Loss tensor(113.2750, device='cuda:0') | Dropout 0.0 0.0
Epoch 41 | Train loss tensor(117.0697, device='cuda:0') | Val Loss tensor(113.4361, device='cuda:0') | Dropout 0.0 0.0
Epoch 42 | Train loss tensor(116.9982, device='cuda:0') | Val Loss tensor(113.2087, device='cuda:0') | Dropout 0.0 0.0
Epoch 43 | Train loss tensor(116.9176, device='cuda:0') | Val Loss tensor(113.2787, device='cuda:0') | Dropout 0.0 0.0
Epoch 44 | Train loss tensor(117.0255, device='cuda:0') | Val Loss tensor(113.5250, device='cuda:0') | Dropout 0.0 0.0
Epoch 45 | Train loss tensor(116.9961, device='cuda:0') | Val Loss tensor(113.8304, device='cuda:0') | Dropout 0.0 0.0
Epoch 46 | Train loss tensor(116.9263, device='cuda:0') | Val Loss tensor(114.2221, device='cuda:0') | Dropout 0.0 0.0
Epoch 47 | Train loss tensor(116.8357, device='cuda:0') | Val Loss tensor(114.4326, device='cuda:0') | Dropout 0.0 0.0
Epoch 48 | Train loss tensor(116.6393, device='cuda:0') | Val Loss tensor(115.3399, device='cuda:0') | Dropout 0.0 0.0
Epoch 49 | Train loss tensor(116.8620, device='cuda:0') | Val Loss tensor(114.3791, device='cuda:0') | Dropout 0.0 0.0
Epoch 50 | Train loss tensor(116.7575, device='cuda:0') | Val Loss tensor(114.3998, device='cuda:0') | Dropout 0.0 0.0
Epoch 51 | Train loss tensor(116.8805, device='cuda:0') | Val Loss tensor(115.3309, device='cuda:0') | Dropout 0.0 0.0
Epoch 52 | Train loss tensor(116.7580, device='cuda:0') | Val Loss tensor(114.9169, device='cuda:0') | Dropout 0.0 0.0
Epoch 53 | Train loss tensor(116.8038, device='cuda:0') | Val Loss tensor(114.7011, device='cuda:0') | Dropout 0.0 0.0
Epoch 54 | Train loss tensor(116.7414, device='cuda:0') | Val Loss tensor(115.1145, device='cuda:0') | Dropout 0.0 0.0
Epoch 55 | Train loss tensor(116.7453, device='cuda:0') | Val Loss tensor(114.9243, device='cuda:0') | Dropout 0.0 0.0
Epoch 56 | Train loss tensor(116.8551, device='cuda:0') | Val Loss tensor(114.4402, device='cuda:0') | Dropout 0.0 0.0
Epoch 57 | Train loss tensor(116.7594, device='cuda:0') | Val Loss tensor(115.3410, device='cuda:0') | Dropout 0.0 0.0
