Epoch 0 | Train loss tensor(117.0899, device='cuda:0') | Val Loss tensor(113.7189, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(116.8650, device='cuda:0') | Val Loss tensor(112.9862, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(116.7807, device='cuda:0') | Val Loss tensor(113.3943, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(116.7101, device='cuda:0') | Val Loss tensor(113.0289, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(116.7401, device='cuda:0') | Val Loss tensor(113.2303, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(116.9582, device='cuda:0') | Val Loss tensor(113.2395, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(116.9873, device='cuda:0') | Val Loss tensor(112.9820, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(116.8960, device='cuda:0') | Val Loss tensor(113.3517, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(116.9264, device='cuda:0') | Val Loss tensor(113.1477, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(117.0055, device='cuda:0') | Val Loss tensor(113.0213, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(116.8704, device='cuda:0') | Val Loss tensor(113.7480, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(116.8920, device='cuda:0') | Val Loss tensor(112.9946, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(116.9618, device='cuda:0') | Val Loss tensor(112.9068, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(116.9187, device='cuda:0') | Val Loss tensor(113.5118, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(116.9484, device='cuda:0') | Val Loss tensor(113.3264, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(116.9345, device='cuda:0') | Val Loss tensor(113.0462, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(117.0012, device='cuda:0') | Val Loss tensor(113.4798, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(116.9595, device='cuda:0') | Val Loss tensor(113.8910, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(117.0257, device='cuda:0') | Val Loss tensor(113.3690, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(116.9948, device='cuda:0') | Val Loss tensor(113.6023, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(116.9812, device='cuda:0') | Val Loss tensor(113.1026, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(116.9593, device='cuda:0') | Val Loss tensor(113.1461, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(116.9601, device='cuda:0') | Val Loss tensor(113.2185, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(116.9335, device='cuda:0') | Val Loss tensor(112.8163, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(116.9627, device='cuda:0') | Val Loss tensor(113.0312, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(117.0193, device='cuda:0') | Val Loss tensor(113.1375, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(117.0113, device='cuda:0') | Val Loss tensor(113.0229, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(116.9667, device='cuda:0') | Val Loss tensor(113.0606, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(116.9955, device='cuda:0') | Val Loss tensor(113.7241, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(116.9862, device='cuda:0') | Val Loss tensor(113.1805, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(117.0147, device='cuda:0') | Val Loss tensor(113.1717, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(116.9779, device='cuda:0') | Val Loss tensor(113.0381, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(116.9697, device='cuda:0') | Val Loss tensor(113.1313, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(117.0590, device='cuda:0') | Val Loss tensor(113.0728, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(117.0081, device='cuda:0') | Val Loss tensor(113.4385, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(117.1238, device='cuda:0') | Val Loss tensor(113.7383, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(117.1080, device='cuda:0') | Val Loss tensor(113.4182, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(117.0472, device='cuda:0') | Val Loss tensor(113.3856, device='cuda:0') | Dropout 0.0 0.0
Epoch 38 | Train loss tensor(117.0419, device='cuda:0') | Val Loss tensor(113.3443, device='cuda:0') | Dropout 0.0 0.0
Epoch 39 | Train loss tensor(117.2263, device='cuda:0') | Val Loss tensor(113.7321, device='cuda:0') | Dropout 0.0 0.0
Epoch 40 | Train loss tensor(117.1133, device='cuda:0') | Val Loss tensor(112.9110, device='cuda:0') | Dropout 0.0 0.0
Epoch 41 | Train loss tensor(117.0231, device='cuda:0') | Val Loss tensor(114.8692, device='cuda:0') | Dropout 0.0 0.0
Epoch 42 | Train loss tensor(117.1148, device='cuda:0') | Val Loss tensor(113.1572, device='cuda:0') | Dropout 0.0 0.0
Epoch 43 | Train loss tensor(116.9968, device='cuda:0') | Val Loss tensor(113.3459, device='cuda:0') | Dropout 0.0 0.0
Epoch 44 | Train loss tensor(116.9186, device='cuda:0') | Val Loss tensor(113.9589, device='cuda:0') | Dropout 0.0 0.0
Epoch 45 | Train loss tensor(116.8691, device='cuda:0') | Val Loss tensor(113.4148, device='cuda:0') | Dropout 0.0 0.0
Epoch 46 | Train loss tensor(116.9297, device='cuda:0') | Val Loss tensor(114.2409, device='cuda:0') | Dropout 0.0 0.0
Epoch 47 | Train loss tensor(116.9753, device='cuda:0') | Val Loss tensor(113.8501, device='cuda:0') | Dropout 0.0 0.0
Epoch 48 | Train loss tensor(116.8660, device='cuda:0') | Val Loss tensor(114.9417, device='cuda:0') | Dropout 0.0 0.0
Epoch 49 | Train loss tensor(116.7750, device='cuda:0') | Val Loss tensor(114.3276, device='cuda:0') | Dropout 0.0 0.0
Epoch 50 | Train loss tensor(116.8574, device='cuda:0') | Val Loss tensor(114.3531, device='cuda:0') | Dropout 0.0 0.0
Epoch 51 | Train loss tensor(116.7894, device='cuda:0') | Val Loss tensor(115.1117, device='cuda:0') | Dropout 0.0 0.0
Epoch 52 | Train loss tensor(116.6501, device='cuda:0') | Val Loss tensor(115.2206, device='cuda:0') | Dropout 0.0 0.0
