Epoch 0 | Train loss tensor(116.7181, device='cuda:0') | Val Loss tensor(124.0198, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(115.2979, device='cuda:0') | Val Loss tensor(138.9645, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(98.3239, device='cuda:0') | Val Loss tensor(143.3545, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(59.1405, device='cuda:0') | Val Loss tensor(152.3787, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(41.7452, device='cuda:0') | Val Loss tensor(147.7036, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(111.0840, device='cuda:0') | Val Loss tensor(105.5254, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(106.6890, device='cuda:0') | Val Loss tensor(101.8980, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(104.7325, device='cuda:0') | Val Loss tensor(99.6139, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(103.2425, device='cuda:0') | Val Loss tensor(100.2507, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(100.7775, device='cuda:0') | Val Loss tensor(95.4813, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(99.4674, device='cuda:0') | Val Loss tensor(93.3565, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(98.3879, device='cuda:0') | Val Loss tensor(89.7312, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(96.2285, device='cuda:0') | Val Loss tensor(91.7473, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(94.1249, device='cuda:0') | Val Loss tensor(90.9713, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(91.5991, device='cuda:0') | Val Loss tensor(84.9293, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(91.6126, device='cuda:0') | Val Loss tensor(86.5154, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(90.2548, device='cuda:0') | Val Loss tensor(84.8150, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(87.6297, device='cuda:0') | Val Loss tensor(83.5679, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(86.3913, device='cuda:0') | Val Loss tensor(81.0457, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(85.3450, device='cuda:0') | Val Loss tensor(80.0332, device='cuda:0') | Dropout 0.0 0.0
