Epoch 0 | Train loss tensor(116.9299, device='cuda:0') | Val Loss tensor(122.5283, device='cuda:0') | Dropout 0.0 0.0
Epoch 1 | Train loss tensor(115.1693, device='cuda:0') | Val Loss tensor(138.3213, device='cuda:0') | Dropout 0.0 0.0
Epoch 2 | Train loss tensor(90.8123, device='cuda:0') | Val Loss tensor(156.8422, device='cuda:0') | Dropout 0.0 0.0
Epoch 3 | Train loss tensor(53.5567, device='cuda:0') | Val Loss tensor(154.0291, device='cuda:0') | Dropout 0.0 0.0
Epoch 4 | Train loss tensor(41.3206, device='cuda:0') | Val Loss tensor(151.6995, device='cuda:0') | Dropout 0.0 0.0
Epoch 5 | Train loss tensor(110.0063, device='cuda:0') | Val Loss tensor(100.9470, device='cuda:0') | Dropout 0.0 0.0
Epoch 6 | Train loss tensor(105.3311, device='cuda:0') | Val Loss tensor(99.4666, device='cuda:0') | Dropout 0.0 0.0
Epoch 7 | Train loss tensor(102.1345, device='cuda:0') | Val Loss tensor(96.8214, device='cuda:0') | Dropout 0.0 0.0
Epoch 8 | Train loss tensor(99.3576, device='cuda:0') | Val Loss tensor(94.3531, device='cuda:0') | Dropout 0.0 0.0
Epoch 9 | Train loss tensor(96.9799, device='cuda:0') | Val Loss tensor(90.9339, device='cuda:0') | Dropout 0.0 0.0
Epoch 10 | Train loss tensor(95.8957, device='cuda:0') | Val Loss tensor(90.3403, device='cuda:0') | Dropout 0.0 0.0
Epoch 11 | Train loss tensor(93.4280, device='cuda:0') | Val Loss tensor(89.2462, device='cuda:0') | Dropout 0.0 0.0
Epoch 12 | Train loss tensor(91.1662, device='cuda:0') | Val Loss tensor(89.4287, device='cuda:0') | Dropout 0.0 0.0
Epoch 13 | Train loss tensor(91.7130, device='cuda:0') | Val Loss tensor(87.9910, device='cuda:0') | Dropout 0.0 0.0
Epoch 14 | Train loss tensor(89.0720, device='cuda:0') | Val Loss tensor(82.5413, device='cuda:0') | Dropout 0.0 0.0
Epoch 15 | Train loss tensor(87.4250, device='cuda:0') | Val Loss tensor(81.8281, device='cuda:0') | Dropout 0.0 0.0
Epoch 16 | Train loss tensor(86.5952, device='cuda:0') | Val Loss tensor(79.2972, device='cuda:0') | Dropout 0.0 0.0
Epoch 17 | Train loss tensor(84.4112, device='cuda:0') | Val Loss tensor(78.9160, device='cuda:0') | Dropout 0.0 0.0
Epoch 18 | Train loss tensor(84.0943, device='cuda:0') | Val Loss tensor(76.7306, device='cuda:0') | Dropout 0.0 0.0
Epoch 19 | Train loss tensor(82.2641, device='cuda:0') | Val Loss tensor(80.0732, device='cuda:0') | Dropout 0.0 0.0
Epoch 20 | Train loss tensor(82.0211, device='cuda:0') | Val Loss tensor(79.5946, device='cuda:0') | Dropout 0.0 0.0
Epoch 21 | Train loss tensor(79.5429, device='cuda:0') | Val Loss tensor(76.3026, device='cuda:0') | Dropout 0.0 0.0
Epoch 22 | Train loss tensor(78.6789, device='cuda:0') | Val Loss tensor(75.7658, device='cuda:0') | Dropout 0.0 0.0
Epoch 23 | Train loss tensor(77.6078, device='cuda:0') | Val Loss tensor(73.4167, device='cuda:0') | Dropout 0.0 0.0
Epoch 24 | Train loss tensor(77.5408, device='cuda:0') | Val Loss tensor(74.5074, device='cuda:0') | Dropout 0.0 0.0
Epoch 25 | Train loss tensor(76.0904, device='cuda:0') | Val Loss tensor(73.8745, device='cuda:0') | Dropout 0.0 0.0
Epoch 26 | Train loss tensor(75.8908, device='cuda:0') | Val Loss tensor(67.8638, device='cuda:0') | Dropout 0.0 0.0
Epoch 27 | Train loss tensor(73.8428, device='cuda:0') | Val Loss tensor(69.8389, device='cuda:0') | Dropout 0.0 0.0
Epoch 28 | Train loss tensor(74.1627, device='cuda:0') | Val Loss tensor(70.5059, device='cuda:0') | Dropout 0.0 0.0
Epoch 29 | Train loss tensor(74.2796, device='cuda:0') | Val Loss tensor(71.8761, device='cuda:0') | Dropout 0.0 0.0
Epoch 30 | Train loss tensor(72.5181, device='cuda:0') | Val Loss tensor(68.5373, device='cuda:0') | Dropout 0.0 0.0
Epoch 31 | Train loss tensor(71.3973, device='cuda:0') | Val Loss tensor(74.5376, device='cuda:0') | Dropout 0.0 0.0
Epoch 32 | Train loss tensor(70.6752, device='cuda:0') | Val Loss tensor(66.0735, device='cuda:0') | Dropout 0.0 0.0
Epoch 33 | Train loss tensor(69.3918, device='cuda:0') | Val Loss tensor(65.6557, device='cuda:0') | Dropout 0.0 0.0
Epoch 34 | Train loss tensor(69.8435, device='cuda:0') | Val Loss tensor(64.9279, device='cuda:0') | Dropout 0.0 0.0
Epoch 35 | Train loss tensor(68.0843, device='cuda:0') | Val Loss tensor(65.8484, device='cuda:0') | Dropout 0.0 0.0
Epoch 36 | Train loss tensor(67.4912, device='cuda:0') | Val Loss tensor(61.7168, device='cuda:0') | Dropout 0.0 0.0
Epoch 37 | Train loss tensor(66.6208, device='cuda:0') | Val Loss tensor(62.4711, device='cuda:0') | Dropout 0.0 0.0
